ID,PT,FREQ,SYMBOL,NAME,FREQ_REAL,SYMBOL_REAL,COMMENT
553,038E,3952,2960,,,,
554,038E,3958,6400,,,,
555,038E,3964,6400,,,,
556,038E,3969,6943,,,,
557,038E,3979,3650,,,,
558,038E,3993,2900,,,,
559,038E,3999,2200,,,,
560,038E,4001,13333,,,,
561,038E,4011,2222,,,,
562,038E,4014,1850,,,,
563,038E,4017,2400,,,,
564,038E,4020,2450,,,,
565,038E,4022,4000,,,,
566,038E,4029,3600,,,,
567,038E,4032,3200,,,,
568,038E,4037,4800,,,,
569,038E,4042,4100,,,,
570,038E,4043,2400,,,,
571,038E,4044,2400,,,,
572,038E,4047,3600,,,,
573,038E,4052,5800,,,,
574,038E,4060,5000,,,,
575,038E,4064,3200,,,,
576,038E,4069,1000,,,,
577,038E,4075,4660,,,,
578,038E,4081,3195,,,,
579,038E,4085,3460,,,,
580,038E,4090,2035,,,,
581,038E,4093,2400,,,,
582,038E,4096,3232,,,,
583,038E,4101,2800,,,,
584,038E,4102,4340,,,,
585,038E,4104,1600,,,,
586,038E,4107,1004,,,,
587,038E,4111,1537,,,,
588,038E,4115,4800,,,,
589,038E,4125,6400,,,,
590,038E,4135,2400,,,,
591,038E,4138,1600,,,,
592,038E,4140,1570,,,,
593,038E,4160,16100,,,,
594,038E,4174,3148,,,,
595,038E,4181,5000,,,,
596,038E,4185,1650,,,,
597,038E,10958,2000,,,,
598,038E,10961,2000,,,,
599,038E,10964,2000,,,,
600,038E,10967,2000,,,,
601,038E,10970,1000,,,,
602,038E,10973,1500,,,,
603,038E,10977,5200,,,,
604,038E,10980,2400,,,,
605,038E,10983,2400,,,,
606,038E,10986,1590,,,,
607,038E,10989,1670,,,,
608,038E,10991,1600,,,,
609,038E,10998,1700,,,,
610,038E,11000,1400,,,,
611,038E,11010,1000,,,,
612,038E,11020,8000,,,,
613,038E,11031,1500,,,,
614,038E,11038,1520,,,,
615,038E,11042,1600,,,,
616,038E,11045,1600,,,,
617,038E,11049,1600,,,,
618,038E,11053,1250,,,,
619,038E,11056,1100,,,,
620,038E,11060,1600,,,,
621,038E,11064,1600,,,,
622,038E,11068,1600,,,,
623,038E,11070,1600,,,,
624,038E,11072,1500,,,,
625,038E,11075,1350,,,,
626,038E,11077,1250,,,,
627,038E,11080,1300,,,,
628,038E,11082,1250,,,,
629,038E,11084,1250,,,,
630,038E,11086,1500,,,,
631,038E,11088,2400,,,,
632,038E,11090,1600,,,,
633,038E,11093,1200,,,,
634,038E,11096,2400,,,,
635,038E,11099,2400,,,,
636,038E,11105,3812,,,,
637,038E,11108,1300,,,,
638,038E,11112,1300,,,,
639,038E,11114,1200,,,,
640,038E,11116,1200,,,,
641,038E,11123,2400,,,,
642,038E,11125,1250,,,,
643,038E,11128,1250,,,,
644,038E,11131,2500,,,,
